customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4376-KFVRS,Male,0,Yes,Yes,121.05165846079717,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,131.1575,8468.2,0
2754-SDJRD,Female,1,No,No,57.051658460797164,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),115.1725,908.55,1
9917-KWRBE,Female,0,Yes,Yes,90.05165846079717,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),90.10249999999999,3211.2,0
0365-GXEZS,Male,0,Yes,No,67.05165846079717,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,89.92999999999999,1468.75,0
9385-NXKDA,Female,0,Yes,No,121.05165846079717,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Mailed check,95.0475,5919.35,0
4686-UXDML,Female,0,No,No,70.05165846079717,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,114.82749999999999,1992.55,0
2227-JRSJX,Female,0,No,No,70.05165846079717,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,114.0225,1956.4,0
4830-FAXFM,Male,0,No,Yes,68.05165846079717,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),27.715,439.2,0
1830-IPXVJ,Female,0,Yes,Yes,110.05165846079717,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,22.7125,1311.6,0
4690-LLKUA,Male,1,No,No,66.05165846079717,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),51.80749999999999,770.6,0
5804-HYIEZ,Male,0,Yes,Yes,119.05165846079717,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,121.95749999999998,7554.05,0
2388-LAESQ,Female,1,Yes,No,121.05165846079717,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),132.0775,8317.95,0
5533-RJFTJ,Male,0,No,No,98.05165846079717,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,34.73,1453.1,0
4706-AXVKM,Female,1,No,No,60.051658460797164,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,97.52,906.85,1
0997-YTLNY,Female,0,No,Yes,68.05165846079717,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),56.11999999999999,953.65,0
7971-HLVXI,Male,0,Yes,Yes,121.05165846079717,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),97.175,6130.85,0
7337-CINUD,Female,0,Yes,Yes,57.051658460797164,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,22.424999999999997,159.35,0
1379-FRVEB,Male,0,No,Yes,64.05165846079717,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,104.64999999999999,1430.05,0
4753-PADAS,Female,0,Yes,No,116.05165846079717,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,121.55499999999999,6816.95,0
5701-GUXDC,Female,0,Yes,No,75.05165846079717,No,No phone service,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,40.709999999999994,978.6,0
7235-NXZCP,Male,1,No,No,51.051658460797164,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),86.07749999999999,156.4,1
0668-OGMHD,Female,0,Yes,No,70.05165846079717,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),32.775,629.35,0
2812-REYAT,Female,0,Yes,No,98.05165846079717,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),23.057499999999997,923.1,0
8779-YIQQA,Male,0,Yes,Yes,70.05165846079717,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,22.77,350.1,0
9701-CDXHR,Female,0,Yes,No,100.05165846079717,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),79.5225,3649.6,0
7130-CTCUS,Male,1,Yes,No,65.05165846079717,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),62.732499999999995,825.1,0
1894-IGFSG,Female,0,No,No,71.05165846079717,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,102.63749999999999,1907.85,0
0871-URUWO,Male,0,Yes,No,62.051658460797164,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,117.58749999999999,1359.0,1
0057-QBUQH,Female,0,No,Yes,92.05165846079717,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),28.865,1070.15,1
9611-CTWIH,Female,0,No,No,52.051658460797164,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),102.86749999999999,240.45,1
8058-DMYRU,Male,1,No,No,103.05165846079717,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,103.55749999999999,4931.8,0
5351-QESIO,Male,0,No,Yes,50.051658460797164,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),27.83,24.2,0
4302-ZYFEL,Male,0,Yes,Yes,118.05165846079717,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),23.6325,1403.1,1
6134-KWTBV,Male,0,No,No,111.05165846079717,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,26.909999999999997,1429.65,0
2034-GDRCN,Female,0,No,No,51.051658460797164,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.96,168.2,1
9544-PYPSJ,Female,1,Yes,Yes,111.05165846079717,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),110.51499999999999,6019.35,1
4208-UFFGW,Male,1,No,No,51.051658460797164,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,51.6925,85.15,1
9537-JALFH,Male,0,Yes,Yes,118.05165846079717,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,22.884999999999998,1356.7,0
4415-IJZTP,Female,0,No,No,50.051658460797164,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),85.675,74.5,1
4701-MLJPN,Male,0,No,No,80.05165846079717,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,63.537499999999994,1715.65,1
7515-LODFU,Male,1,No,No,118.05165846079717,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,23.345,1356.3,0
4927-WWOOZ,Male,0,Yes,No,51.051658460797164,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,105.16749999999999,171.45,0
4067-HLYQI,Female,0,No,No,82.05165846079717,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,80.96,2406.1,0
6184-DYUOB,Female,0,Yes,No,52.051658460797164,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.54,55.25,1
9209-NWPGU,Male,0,No,No,93.05165846079717,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,No,Mailed check,75.21,2774.55,0
9851-KIELU,Male,0,No,No,59.051658460797164,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),126.61499999999998,1043.3,1
3199-XGZCY,Female,0,No,No,57.051658460797164,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,86.5375,576.7,0
4226-KKDON,Male,0,No,No,57.051658460797164,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,76.6475,520.95,0
1085-LDWAM,Female,0,Yes,Yes,118.05165846079717,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,23.4025,1442.65,0
6825-UYPFK,Female,0,No,No,72.05165846079717,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,86.93999999999998,1758.6,1
1767-CJKBA,Male,0,No,No,115.05165846079717,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),28.865,1697.7,0
7181-BQYBV,Female,0,Yes,Yes,50.051658460797164,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,117.8175,102.45,0
0178-CIIKR,Female,0,No,No,52.051658460797164,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.9425,58.0,0
4256-ZWTZI,Female,0,No,Yes,54.051658460797164,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,58.65,286.8,0
9537-VHDTA,Female,0,No,Yes,50.051658460797164,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),58.879999999999995,51.2,0
2754-XBHTB,Female,0,No,No,58.051658460797164,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.2975,714.15,1
5975-BAICR,Male,0,Yes,Yes,85.05165846079717,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),73.255,2188.5,0
